Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills
19,Male,Tier 3,AI/ML,7.7,229,0,1,11,87
21,Other,Tier 3,Civil,6.97,486,0,10,12,74
20,Other,Tier 2,Electronics,6.74,180,0,5,2,45
18,Other,Tier 2,Computer Science,6.64,98,4,6,2,75
18,Other,Tier 2,Electronics,8.67,216,4,3,2,64
21,Other,Tier 2,Information Technology,7.31,77,2,9,11,50
23,Male,Tier 2,Computer Science,6.6,527,3,6,5,44
20,Female,Tier 1,Information Technology,5.98,281,2,4,12,77
25,Male,Tier 3,Data Science,7.94,275,0,10,3,90
22,Other,Tier 3,Computer Science,6.48,180,2,1,11,96
25,Male,Tier 3,Information Technology,7.52,192,1,8,3,72
23,Male,Tier 2,Data Science,8.13,124,3,0,10,60
21,Male,Tier 2,Civil,6.72,222,3,1,12,71
20,Female,Tier 2,Civil,8.56,239,1,3,9,88
19,Male,Tier 2,Electronics,7.56,480,0,8,4,77
18,Female,Tier 1,AI/ML,8.02,263,1,7,4,74
21,Male,Tier 1,Mechanical,6.98,303,1,6,8,95
19,Male,Tier 1,Civil,6.7,387,1,6,3,57
18,Other,Tier 3,Data Science,7.3,395,0,1,4,50
18,Male,Tier 2,Mechanical,5.74,294,1,7,5,67
18,Other,Tier 2,Computer Science,5.78,186,2,8,9,50
21,Female,Tier 1,Civil,7.6,532,0,9,1,79
22,Male,Tier 3,Electronics,5.28,246,0,6,3,82
19,Male,Tier 2,Civil,7.5,244,1,5,2,96
18,Other,Tier 3,Electronics,7.99,113,3,1,3,56
21,Other,Tier 2,Information Technology,9.39,101,2,4,9,71
18,Male,Tier 2,AI/ML,5.65,260,2,4,3,87
19,Other,Tier 3,Civil,8.75,132,0,5,10,75
18,Female,Tier 2,AI/ML,7.43,446,2,5,9,96
24,Male,Tier 1,Electronics,7.98,64,2,6,11,95
25,Male,Tier 1,Mechanical,7.45,301,1,3,4,41
22,Female,Tier 3,Mechanical,6.49,529,2,8,6,100
18,Male,Tier 3,Electronics,6.23,368,2,5,7,78
18,Other,Tier 2,Civil,7.61,373,3,8,11,86
23,Other,Tier 3,Information Technology,6.31,127,3,8,5,82
21,Female,Tier 3,Mechanical,8.03,251,2,2,10,76
21,Female,Tier 3,Civil,7.83,121,2,7,8,68
22,Other,Tier 3,Civil,7.91,320,1,3,11,59
25,Other,Tier 3,Computer Science,6.75,378,1,10,10,52
19,Female,Tier 2,Data Science,7.59,117,4,8,8,43
23,Female,Tier 3,Information Technology,7.56,334,3,6,9,68
22,Other,Tier 2,AI/ML,6.26,327,1,1,12,58
20,Male,Tier 2,Information Technology,7.77,420,0,3,2,66
21,Female,Tier 2,Data Science,7.96,134,2,0,10,64
24,Other,Tier 3,Civil,9.51,0,2,3,8,54
24,Other,Tier 1,Mechanical,8.29,259,3,9,9,41
20,Male,Tier 2,Electronics,6.47,282,0,5,6,88
25,Male,Tier 3,Computer Science,7.83,0,4,5,4,81
20,Male,Tier 1,Information Technology,6.41,232,0,3,8,84
20,Female,Tier 1,Computer Science,6.87,178,3,9,11,98
19,Other,Tier 3,Data Science,5.94,387,2,1,10,90
19,Other,Tier 3,Computer Science,6.72,440,3,7,2,67
25,Female,Tier 2,Information Technology,6.27,241,2,5,4,93
24,Female,Tier 1,Data Science,5.95,494,1,7,4,62
18,Other,Tier 3,Computer Science,8.64,34,0,6,8,75
19,Female,Tier 2,Information Technology,7.66,279,0,10,10,63
23,Other,Tier 2,Electronics,7.31,349,1,1,12,52
25,Female,Tier 3,Data Science,5.25,227,1,4,2,93
18,Other,Tier 2,Electronics,6.99,176,0,0,9,58
25,Female,Tier 2,AI/ML,6.51,384,4,4,8,47
20,Male,Tier 3,Electronics,6.37,165,0,3,2,75
22,Other,Tier 3,Electronics,7.32,441,2,0,10,87
20,Male,Tier 1,Computer Science,6.98,414,0,6,8,84
25,Male,Tier 3,Electronics,7.22,352,2,10,10,82
22,Male,Tier 1,AI/ML,7.3,339,2,9,12,92
24,Female,Tier 2,Mechanical,5.99,423,1,9,1,96
21,Other,Tier 3,Civil,7.19,115,2,0,11,92
22,Male,Tier 3,Mechanical,7.05,126,2,7,2,70
20,Female,Tier 2,Mechanical,6.38,286,1,6,9,42
24,Other,Tier 3,Computer Science,7.43,32,2,8,8,66
25,Male,Tier 2,Civil,7.51,471,0,4,8,96
20,Female,Tier 3,Civil,6.2,247,1,3,2,69
24,Female,Tier 3,AI/ML,7.72,479,1,2,7,52
23,Other,Tier 2,Computer Science,6.8,283,1,4,10,77
23,Other,Tier 3,Mechanical,7.22,324,1,5,4,84
25,Other,Tier 3,Mechanical,6.43,380,1,10,11,49
19,Female,Tier 1,Mechanical,6.36,160,0,2,7,95
19,Female,Tier 3,Data Science,7.35,301,1,5,11,85
22,Male,Tier 3,Mechanical,6.3,323,4,10,12,95
23,Male,Tier 2,Electronics,6.73,0,1,3,9,66
21,Female,Tier 3,AI/ML,5.61,160,0,10,5,69
19,Female,Tier 3,Civil,7.82,89,1,6,12,56
19,Male,Tier 2,Electronics,7.91,81,2,4,1,93
25,Female,Tier 3,AI/ML,6.45,482,2,5,4,80
22,Female,Tier 1,Electronics,9.26,513,2,1,5,60
22,Male,Tier 2,Data Science,8.57,105,3,4,12,95
24,Other,Tier 2,Data Science,6.02,0,1,4,9,47
19,Other,Tier 2,Computer Science,7.27,494,2,8,6,98
19,Male,Tier 1,Computer Science,7.58,245,1,7,2,46
24,Other,Tier 3,AI/ML,7.87,304,3,10,2,93
21,Female,Tier 2,AI/ML,7.14,393,3,1,11,63
25,Male,Tier 3,Information Technology,6.41,233,2,0,1,90
21,Other,Tier 2,Data Science,9.16,255,0,2,10,40
19,Other,Tier 3,AI/ML,6.98,342,0,3,10,60
19,Other,Tier 1,Mechanical,6.92,0,2,8,10,46
25,Other,Tier 3,Computer Science,6.95,336,4,6,7,83
20,Male,Tier 1,Civil,7.07,106,2,8,12,60
19,Other,Tier 1,Information Technology,5.78,153,2,8,12,95
25,Female,Tier 2,Computer Science,7.19,471,1,5,11,56
19,Female,Tier 1,Information Technology,7.74,94,1,2,9,43
18,Female,Tier 3,Electronics,8.13,536,0,8,4,49
19,Female,Tier 3,Data Science,6.71,161,1,8,10,79
23,Female,Tier 1,Data Science,7.47,242,0,10,7,44
24,Female,Tier 2,Electronics,7.96,325,1,5,10,78
19,Female,Tier 2,Mechanical,5.53,331,1,7,7,57
22,Other,Tier 3,Mechanical,5.4,5,1,4,1,54
20,Female,Tier 2,Computer Science,7.84,0,0,6,3,48
19,Female,Tier 3,Computer Science,7.25,120,1,7,2,95
22,Male,Tier 2,Electronics,8.04,80,0,9,8,93
24,Other,Tier 1,Data Science,6.4,336,1,5,4,61
21,Female,Tier 2,Data Science,7.29,226,2,2,4,46
19,Male,Tier 3,Information Technology,6.79,176,1,9,10,68
25,Other,Tier 2,Electronics,7.49,561,2,5,9,44
22,Male,Tier 3,Data Science,6.79,0,0,9,9,64
23,Other,Tier 2,AI/ML,7.22,501,4,7,2,91
25,Female,Tier 2,Civil,4.99,285,0,5,5,64
19,Female,Tier 1,Information Technology,7.54,187,1,4,12,94
23,Female,Tier 3,Information Technology,7.45,181,2,2,10,85
20,Other,Tier 3,Information Technology,7.27,178,4,8,2,81
20,Male,Tier 2,Data Science,6.69,209,1,3,3,49
23,Other,Tier 1,Mechanical,7.96,111,0,2,12,89
25,Other,Tier 2,Information Technology,9.08,133,2,3,9,55
25,Female,Tier 3,Civil,7.85,241,1,2,4,91
19,Other,Tier 3,Data Science,7.33,266,0,1,3,57
25,Female,Tier 3,Mechanical,6.41,320,0,8,6,55
19,Other,Tier 3,Data Science,6.69,101,0,0,5,98
19,Male,Tier 2,Data Science,5.51,479,0,9,9,67
21,Female,Tier 3,Civil,5.55,373,1,1,8,78
22,Female,Tier 1,Electronics,6.86,500,0,6,3,82
18,Female,Tier 3,Computer Science,6.93,0,2,5,5,87
23,Male,Tier 1,Civil,9.05,418,1,10,3,93
18,Female,Tier 2,Data Science,7.26,252,0,0,6,99
18,Other,Tier 1,Electronics,6.63,167,3,0,11,61
24,Female,Tier 3,Mechanical,7.31,211,2,5,9,57
22,Female,Tier 1,Electronics,8.45,0,2,4,8,78
23,Other,Tier 3,Electronics,6.42,83,2,0,2,82
25,Male,Tier 1,AI/ML,7.92,80,2,5,6,64
19,Other,Tier 1,Electronics,7.91,213,1,10,5,55
19,Female,Tier 3,Information Technology,6.84,423,1,9,5,84
25,Male,Tier 3,Mechanical,6.89,298,4,10,6,82
20,Other,Tier 3,Information Technology,6.68,407,2,5,9,54
18,Female,Tier 3,Electronics,7.81,57,1,8,3,79
24,Female,Tier 3,Computer Science,7.41,235,0,5,11,44
20,Female,Tier 2,Data Science,8.3,267,0,1,9,49
23,Other,Tier 3,Data Science,7.51,0,0,3,11,75
20,Other,Tier 3,AI/ML,7.02,252,0,9,12,97
21,Other,Tier 2,Information Technology,7.4,103,0,10,9,58
19,Other,Tier 1,Mechanical,7.67,288,1,7,4,61
23,Other,Tier 3,Electronics,5.36,58,0,1,5,68
24,Male,Tier 3,AI/ML,6.47,278,3,9,12,60
22,Female,Tier 1,Mechanical,6.28,47,1,3,4,77
22,Other,Tier 1,Computer Science,9.83,323,1,4,12,63
23,Other,Tier 2,Mechanical,6.62,268,1,8,5,92
23,Male,Tier 1,Civil,6.5,244,1,0,1,42
20,Female,Tier 3,Electronics,7.91,165,0,9,12,93
22,Female,Tier 3,Electronics,5.63,140,1,1,7,77
18,Other,Tier 2,Civil,7.38,49,2,9,7,49
25,Female,Tier 2,Mechanical,8.28,375,2,6,9,89
25,Other,Tier 2,AI/ML,7.63,281,1,8,6,74
22,Other,Tier 2,Electronics,8.25,244,2,3,12,85
22,Male,Tier 3,Civil,8.14,172,1,6,6,89
23,Female,Tier 3,Information Technology,6.89,283,1,3,9,57
21,Male,Tier 3,Civil,7.01,184,0,3,1,46
18,Other,Tier 3,AI/ML,5.71,290,1,7,8,81
19,Other,Tier 3,Civil,6.68,461,2,0,3,66
18,Male,Tier 2,Civil,8.65,486,0,5,5,69
19,Female,Tier 1,Mechanical,5.86,112,2,2,1,87
24,Other,Tier 2,Mechanical,7.43,482,2,2,3,70
25,Female,Tier 3,Electronics,7.15,351,2,9,1,56
20,Female,Tier 3,Information Technology,7.69,293,2,1,11,98
25,Male,Tier 2,Civil,6.58,166,1,8,8,88
23,Male,Tier 3,Computer Science,6.63,125,0,8,9,52
21,Other,Tier 3,Computer Science,7.4,22,3,7,1,69
25,Other,Tier 3,Information Technology,6.81,292,0,4,1,87
18,Male,Tier 3,Mechanical,7.02,130,0,6,3,89
24,Male,Tier 3,Information Technology,8.99,172,3,2,11,95
21,Male,Tier 3,Electronics,9.73,170,1,8,7,74
22,Male,Tier 3,Information Technology,9.05,337,2,0,11,66
25,Other,Tier 3,Data Science,8.02,326,0,0,7,68
22,Male,Tier 3,Information Technology,7.85,224,2,9,10,89
24,Female,Tier 2,Civil,7.57,190,3,2,11,83
23,Other,Tier 2,AI/ML,7.25,46,1,2,9,70
18,Other,Tier 2,Mechanical,6.89,282,2,2,7,55
19,Other,Tier 3,AI/ML,7.48,341,0,6,11,78
25,Male,Tier 3,Electronics,8.27,96,1,0,4,99
24,Male,Tier 3,Data Science,5.68,166,1,7,9,81
25,Male,Tier 3,Information Technology,6.64,532,1,5,4,63
20,Male,Tier 2,Civil,6.7,96,2,6,5,49
25,Other,Tier 3,Information Technology,5.92,380,1,7,12,81
25,Male,Tier 3,Civil,6.13,21,4,0,9,42
19,Other,Tier 1,AI/ML,6.96,302,1,5,1,79
18,Male,Tier 2,Electronics,8.32,301,1,4,1,72
21,Male,Tier 3,Electronics,7.84,449,3,4,7,45
22,Other,Tier 3,Computer Science,8.64,148,2,10,1,45
18,Other,Tier 1,Mechanical,7.33,147,3,10,6,76
22,Male,Tier 3,Information Technology,5.31,182,3,8,10,82
24,Male,Tier 2,Civil,7.99,313,0,6,11,97
18,Male,Tier 2,Data Science,6.04,475,0,9,10,78
25,Male,Tier 2,Mechanical,7.41,0,1,10,10,82
19,Male,Tier 2,Mechanical,6.92,519,2,10,3,87
22,Female,Tier 2,Electronics,8.6,388,0,1,3,67
